method	K	silhouette
UMAP	2	0.258063209283615
UMAP	3	0.2876560290793696
UMAP	4	0.3253424820938331
UMAP	5	0.3115490641016697
UMAP	6	0.3215730578214751
UMAP	7	0.325373723440424
UMAP	8	0.3174005776693579
UMAP	9	0.3325399588798611
UMAP	10	0.3322903888190763
UMAP	11	0.347317907529547
UMAP	12	0.3400546274147091
UMAP	13	0.3632811477727858
UMAP	14	0.3775958752683073
UMAP	15	0.3737593959872634
UMAP	16	0.3599094285091069
UMAP	17	0.382962347612673
UMAP	18	0.4005597634031765
UMAP	19	0.3789259400784879
UMAP	20	0.4060443642485641
UMAP	21	0.4001661919934229
UMAP	22	0.4078119805575182
UMAP	23	0.4079111536306757
UMAP	24	0.4226049679132804
UMAP	25	0.4454486982132503
UMAP	26	0.4257794584662288
UMAP	27	0.435767081293976
UMAP	28	0.4521908975223083
UMAP	29	0.4568044666839742
UMAP	30	0.4680145381697984
UMAP	31	0.4746543191094247
UMAP	32	0.4798007315234467
UMAP	33	0.4796428329706845
UMAP	34	0.4984533668325295
UMAP	35	0.5040820634958942
UMAP	36	0.5098684251017155
UMAP	37	0.5132813415552367
UMAP	38	0.5321664402424934
UMAP	39	0.5319397246286328
UMAP	40	0.5289227273534503
UMAP	41	0.5427400544019941
UMAP	42	0.5360959040644206
UMAP	43	0.5516863858233846
UMAP	44	0.5503168861662923
UMAP	45	0.5574055337459014
UMAP	46	0.5615987508858999
UMAP	47	0.5810110608168577
UMAP	48	0.5816285960648022
UMAP	49	0.5821276176762684
UMAP	50	0.5879847643494944
PaCMAP	2	0.2587509759332146
PaCMAP	3	0.2558671374607249
PaCMAP	4	0.2725023245056069
PaCMAP	5	0.2751322670500932
PaCMAP	6	0.281932437602634
PaCMAP	7	0.2848565043108111
PaCMAP	8	0.2803402413279908
PaCMAP	9	0.287168903423402
PaCMAP	10	0.2872114248078197
PaCMAP	11	0.2957739636715162
PaCMAP	12	0.3016573530053725
PaCMAP	13	0.2965000839726234
PaCMAP	14	0.3191308332347885
PaCMAP	15	0.3092807295953809
PaCMAP	16	0.3158299215591125
PaCMAP	17	0.3249787958882691
PaCMAP	18	0.3261121516866056
PaCMAP	19	0.335151873277503
PaCMAP	20	0.3304371475788396
PaCMAP	21	0.3501599574268229
PaCMAP	22	0.3474187694121973
PaCMAP	23	0.3545327218606567
PaCMAP	24	0.3578122657008545
PaCMAP	25	0.3750369950665216
PaCMAP	26	0.3667167485532042
PaCMAP	27	0.3785129276684529
PaCMAP	28	0.3891338001539743
PaCMAP	29	0.3947086399883389
PaCMAP	30	0.3954010879251941
PaCMAP	31	0.4054835920583606
PaCMAP	32	0.4084899408636842
PaCMAP	33	0.407092641126461
PaCMAP	34	0.4223721332810541
PaCMAP	35	0.4195507002580652
PaCMAP	36	0.4389186898224538
PaCMAP	37	0.4368709461670276
PaCMAP	38	0.4510158165858878
PaCMAP	39	0.4577946019410198
PaCMAP	40	0.4645385726082087
PaCMAP	41	0.4585173554634791
PaCMAP	42	0.4714015204731847
PaCMAP	43	0.484219393075501
PaCMAP	44	0.4793042773837284
PaCMAP	45	0.4812370505381577
PaCMAP	46	0.5005646566244073
PaCMAP	47	0.5023036724966379
PaCMAP	48	0.5052918108172189
PaCMAP	49	0.5037308085144395
PaCMAP	50	0.5098319856883128
t-SNE	2	0.330871676901179
t-SNE	3	0.3594400092991245
t-SNE	4	0.3685863526541033
t-SNE	5	0.3807623299508834
t-SNE	6	0.3800249514033275
t-SNE	7	0.3897608297671284
t-SNE	8	0.3817637008781762
t-SNE	9	0.3798150683522492
t-SNE	10	0.365682773003767
t-SNE	11	0.3844019258646389
t-SNE	12	0.3943442986304775
t-SNE	13	0.4001218821078782
t-SNE	14	0.4055665810835598
t-SNE	15	0.4020620313942797
t-SNE	16	0.4093679687193557
t-SNE	17	0.4064848737142146
t-SNE	18	0.4005135988761285
t-SNE	19	0.4137757584588547
t-SNE	20	0.4111401291071491
t-SNE	21	0.4157626424774737
t-SNE	22	0.4207560845235737
t-SNE	23	0.4157101751212379
t-SNE	24	0.4249477653741392
t-SNE	25	0.4285361191889293
t-SNE	26	0.4444790356564333
t-SNE	27	0.4462097822670308
t-SNE	28	0.4540645672965465
t-SNE	29	0.4519158291560564
t-SNE	30	0.465220025765016
t-SNE	31	0.4549934400055464
t-SNE	32	0.4592830466692305
t-SNE	33	0.4873583600117239
t-SNE	34	0.4762928611032372
t-SNE	35	0.4775591878459904
t-SNE	36	0.4958159101665568
t-SNE	37	0.4711755603375634
t-SNE	38	0.4965538340397873
t-SNE	39	0.497394484730598
t-SNE	40	0.4959568114184478
t-SNE	41	0.5119322924049328
t-SNE	42	0.520279060092857
t-SNE	43	0.5072945379011611
t-SNE	44	0.5280696276115849
t-SNE	45	0.5271512214514659
t-SNE	46	0.5303883305421312
t-SNE	47	0.5168383694366061
t-SNE	48	0.5269390252570053
t-SNE	49	0.5553590517460814
t-SNE	50	0.5497452339617064
TriMAP	2	0.9986086415140544
TriMAP	3	0.4279357745563272
TriMAP	4	0.4174841882728123
TriMAP	5	0.382559360927831
TriMAP	6	0.3764162853123879
TriMAP	7	0.3900856517489532
TriMAP	8	0.3614886600775893
TriMAP	9	0.3778594215086797
TriMAP	10	0.3722441127216769
TriMAP	11	0.3618623455758933
TriMAP	12	0.3737577636980733
TriMAP	13	0.3688176918030205
TriMAP	14	0.3694757087773739
TriMAP	15	0.3618585572130696
TriMAP	16	0.3591754892265217
TriMAP	17	0.3559707380439521
TriMAP	18	0.3732218192075466
TriMAP	19	0.3592064406743734
TriMAP	20	0.3498974632167492
TriMAP	21	0.3553729868399893
TriMAP	22	0.3767760569852678
TriMAP	23	0.3557241977721609
TriMAP	24	0.3688466632259997
TriMAP	25	0.3447853329361332
TriMAP	26	0.3610428908910628
TriMAP	27	0.3473306474740544
TriMAP	28	0.3332522486412341
TriMAP	29	0.3397829832935138
TriMAP	30	0.3444847006655584
TriMAP	31	0.3423061277688624
TriMAP	32	0.3287695850018077
TriMAP	33	0.3446142511186776
TriMAP	34	0.3444843416862446
TriMAP	35	0.3481696925933777
TriMAP	36	0.3365835853384014
TriMAP	37	0.3268938615144983
TriMAP	38	0.3354539710749296
TriMAP	39	0.3322790179042379
TriMAP	40	0.3271601668646693
TriMAP	41	0.328489694835662
TriMAP	42	0.3269864633510693
TriMAP	43	0.3282590207798888
TriMAP	44	0.3284584441254893
TriMAP	45	0.3278592666302728
TriMAP	46	0.3375284759463911
TriMAP	47	0.3364147885357721
