method	K	silhouette
UMAP	2	0.36189559978306063
UMAP	3	0.40891492302866245
UMAP	4	0.45148880106488143
UMAP	5	0.47351350993002594
UMAP	6	0.5018494672299024
UMAP	7	0.5446113366037907
UMAP	8	0.5422305669112786
UMAP	9	0.573585113890619
UMAP	10	0.5866931378471602
UMAP	11	0.5969100810192152
UMAP	12	0.6032000345601236
UMAP	13	0.6182606999798336
UMAP	14	0.6336144146073104
UMAP	15	0.6295962137731006
UMAP	16	0.6546482041601893
UMAP	17	0.6438263292035883
UMAP	18	0.6801422883898802
UMAP	19	0.6914840289283153
UMAP	20	0.7014089751215415
UMAP	21	0.7223381505958271
UMAP	22	0.736939604574894
UMAP	23	0.7451252270513936
UMAP	24	0.752534970422671
UMAP	25	0.762484168369773
UMAP	26	0.7585464522190007
UMAP	27	0.7609044011350216
UMAP	28	0.7808708493625515
UMAP	29	0.7822346904105772
UMAP	30	0.778805066641079
UMAP	31	0.7592838016772219
UMAP	32	0.7724559700503181
UMAP	33	0.7918525730615135
UMAP	34	0.7635518134434355
UMAP	35	0.7756208808278482
UMAP	36	0.7569348254609651
UMAP	37	0.7733449499975925
UMAP	38	0.774731058946197
UMAP	39	0.753832623101001
UMAP	40	0.7781696713372049
UMAP	41	0.7725565893977213
UMAP	42	0.7574787716518614
UMAP	43	0.7654265132933578
UMAP	44	0.7820629575767468
UMAP	45	0.7412936212436906
UMAP	46	0.7469174383394043
UMAP	47	0.74756999219992
UMAP	48	0.7658610986402561
UMAP	49	0.7440121044756014
UMAP	50	0.7468398013811204
PaCMAP	2	0.3922598761161009
PaCMAP	3	0.41216742620696506
PaCMAP	4	0.4211149504858632
PaCMAP	5	0.44412165777094464
PaCMAP	6	0.46774048683265945
PaCMAP	7	0.47340338095952444
PaCMAP	8	0.47859668340371553
PaCMAP	9	0.4790983361119831
PaCMAP	10	0.5018169713851568
PaCMAP	11	0.5065644175671049
PaCMAP	12	0.5209222219639194
PaCMAP	13	0.5398155710478514
PaCMAP	14	0.5529806876736049
PaCMAP	15	0.5577843993372841
PaCMAP	16	0.5602723805311115
PaCMAP	17	0.5642417098151747
PaCMAP	18	0.5927806091237935
PaCMAP	19	0.5999477391421568
PaCMAP	20	0.6020829830353642
PaCMAP	21	0.6125203359943637
PaCMAP	22	0.6159402784396678
PaCMAP	23	0.6407817367862548
PaCMAP	24	0.6346302312364565
PaCMAP	25	0.6396296294683465
PaCMAP	26	0.6527596864968657
PaCMAP	27	0.6386672415852815
PaCMAP	28	0.6422705949366504
PaCMAP	29	0.6521705763489788
PaCMAP	30	0.6526048060369557
PaCMAP	31	0.657508158553487
PaCMAP	32	0.670494072755223
PaCMAP	33	0.6673674185160242
PaCMAP	34	0.6667257609310148
PaCMAP	35	0.6821019498415146
PaCMAP	36	0.6851390532925464
PaCMAP	37	0.6865312933395973
PaCMAP	38	0.6821816458681503
PaCMAP	39	0.6881373604747979
PaCMAP	40	0.704708032735478
PaCMAP	41	0.7069970769480944
PaCMAP	42	0.7138641752761361
PaCMAP	43	0.6837536449216023
PaCMAP	44	0.6979310608029069
PaCMAP	45	0.6972005231586988
PaCMAP	46	0.6873702563137348
PaCMAP	47	0.6912924631954989
PaCMAP	48	0.6898522993668481
PaCMAP	49	0.6954742919214459
PaCMAP	50	0.6880768650408213
t-SNE	2	0.330713381858629
t-SNE	3	0.3663003425031483
t-SNE	4	0.36987426221907077
t-SNE	5	0.3863147467741187
t-SNE	6	0.4077368823649309
t-SNE	7	0.41800609420169293
t-SNE	8	0.41164934407931036
t-SNE	9	0.40855532352251567
t-SNE	10	0.4098116501495286
t-SNE	11	0.40208625043699664
t-SNE	12	0.40957716700561336
t-SNE	13	0.4257017133692892
t-SNE	14	0.43325233682477304
t-SNE	15	0.42088324213797357
t-SNE	16	0.43115838862646844
t-SNE	17	0.4266094742748122
t-SNE	18	0.4515138675571271
t-SNE	19	0.4539137055211855
t-SNE	20	0.4508729010041668
t-SNE	21	0.462561577279173
t-SNE	22	0.4746269378058199
t-SNE	23	0.4809564081034206
t-SNE	24	0.4807645394986289
t-SNE	25	0.49125977580446256
t-SNE	26	0.48824141866075366
t-SNE	27	0.49119447237829533
