K	method	ari	nmi
2	UMAP	0.0306057402115675	0.0924516929805238
2	PaCMAP	0.000201354070488	0.000171185192385
2	t-SNE	0.0123783700568721	0.1315406494198385
2	TriMAP	-0.0013235602306737	0.0004750591092958
2	PHATE	0.3690698705271678	0.2433544407538744
2	PhyloAE	0.6397914894380559	0.5381747279095465
3	UMAP	0.0571096031313428	0.1650188542641312
3	PaCMAP	0.003186486356682	0.0287991771699392
3	t-SNE	0.0298061668719713	0.1460054166244024
3	TriMAP	0.0203973822914329	0.1329052095556123
3	PHATE	0.1521450588720788	0.1948900177236281
3	PhyloAE	0.1429873024871168	0.2402610073497587
4	UMAP	0.0838180341642768	0.2521462404790754
4	PaCMAP	-0.0013725769418285	0.068931435037741
4	t-SNE	0.0281102369718778	0.224829925451713
4	TriMAP	0.2760272018887816	0.3230932754834518
4	PHATE	0.2257843550569147	0.329033475421725
4	PhyloAE	0.0955506219934367	0.2797802747973789
5	UMAP	0.069661611183753	0.2605399606604254
5	PaCMAP	0.0102761349689297	0.097604850624626
5	t-SNE	0.0439411823697884	0.2475967335786383
5	TriMAP	0.1338433661677895	0.2721030220667363
5	PHATE	0.1045567155121408	0.3031170839110144
5	PhyloAE	0.0828266646400395	0.2840494760377198
6	UMAP	0.0302009290365493	0.2472512173218989
6	PaCMAP	0.0094612610408507	0.1308723504107328
6	t-SNE	0.0409184089352056	0.2073261226836376
6	TriMAP	0.077859002268143	0.2758024734897431
6	PHATE	0.115563170551958	0.33175405769359
6	PhyloAE	0.0706474073189987	0.2972222319620796
7	UMAP	0.0360241872847394	0.2674626175199247
7	PaCMAP	0.0349309111740159	0.1878147156788064
7	t-SNE	0.0952832359199315	0.3733844361393269
7	TriMAP	0.1027529635727878	0.3504101934658735
7	PHATE	0.121078085883615	0.3692381422638618
7	PhyloAE	0.0972347346512979	0.3530984725931437
8	UMAP	0.0309249797825497	0.2602866706520553
8	PaCMAP	0.0212731183744365	0.1735388360481615
8	t-SNE	0.086169440476203	0.3667201677906279
8	TriMAP	0.073436184354327	0.2805250799236976
8	PHATE	0.0951955635472161	0.3716724607873329
8	PhyloAE	0.0999531522363164	0.3573281540888257
9	UMAP	0.0677669539914149	0.3145685219300848
9	PaCMAP	0.0533773508823512	0.2405335343489352
9	t-SNE	0.0762090995934436	0.3666505947049024
9	TriMAP	0.1309926057655038	0.3985313917530049
9	PHATE	0.1194910324093825	0.4024731213759642
9	PhyloAE	0.1351536273509701	0.4404061493178567
10	UMAP	0.0743986609280933	0.3637599411684212
10	PaCMAP	0.0387244085429484	0.2528679969135455
10	t-SNE	0.0966609521827879	0.4225233008165916
10	TriMAP	0.1316452771186367	0.3911268096632236
10	PHATE	0.1238666494788037	0.4389820465770284
10	PhyloAE	0.1626032458529808	0.503987239644669
11	UMAP	0.0531396364801049	0.3294686963125193
11	PaCMAP	0.0347277371943013	0.263224258960704
11	t-SNE	0.0961134532727998	0.4387724778811753
11	TriMAP	0.0781558930229907	0.3729112215199823
11	PHATE	0.1071665029936405	0.4615298173660354
11	PhyloAE	0.1087696454645156	0.4371943433119135
12	UMAP	0.0352243400182681	0.3263835541764007
12	PaCMAP	0.0391399455045296	0.2783990307767821
12	t-SNE	0.0872507851816281	0.4411170294945563
12	TriMAP	0.1046993700409749	0.4460242748045164
12	PHATE	0.0953776772524084	0.4509866958145733
12	PhyloAE	0.0980897024988442	0.4539591492771482
13	UMAP	0.0638414812390845	0.3716786323551986
13	PaCMAP	0.0427568459637303	0.2993279880251491
13	t-SNE	0.1424717100289846	0.5149996069934918
13	TriMAP	0.1176642509647403	0.4200172945001614
13	PHATE	0.1074455747613334	0.4772127105670562
13	PhyloAE	0.1588099140366661	0.514911671008995
14	UMAP	0.0657761930443641	0.3753062718579402
14	PaCMAP	0.0417418294223028	0.3186529505568675
14	t-SNE	0.1128049259006753	0.5181756235843493
14	TriMAP	0.095950836951075	0.4262349577825093
14	PHATE	0.1345866787999268	0.507884674137115
14	PhyloAE	0.1334864761454776	0.5179927290180221
15	UMAP	0.0468370766573689	0.3629891765472908
15	PaCMAP	0.0378719770278492	0.3221328869167342
15	t-SNE	0.0931461053623053	0.483050466230748
15	TriMAP	0.0824348457374738	0.41169049132503
15	PHATE	0.0948288744083774	0.4903118173804936
15	PhyloAE	0.119857058273881	0.496674438083851
16	UMAP	0.0557447725142458	0.3961156530942502
16	PaCMAP	0.0401969368173116	0.3299456487791796
16	t-SNE	0.1072033925646617	0.5186670348543979
16	TriMAP	0.0918305636675625	0.4238679630671573
16	PHATE	0.1033481309646683	0.4981350071681957
16	PhyloAE	0.1653537637249071	0.5513892832418419
17	UMAP	0.0563174944318173	0.4110122685079929
17	PaCMAP	0.0342796657807723	0.3304238951255646
17	t-SNE	0.0848065860765916	0.4813335569477382
17	TriMAP	0.0792670874862505	0.428970646417843
17	PHATE	0.1017544347335853	0.5203244119266186
17	PhyloAE	0.12167587459131	0.5238024591164527
18	UMAP	0.0536374271977032	0.4131850162432804
18	PaCMAP	0.0469577244633556	0.3764466484775124
18	t-SNE	0.1034920976568422	0.5366676264790305
18	TriMAP	0.0988106612483003	0.4483164157135588
18	PHATE	0.1091228868427795	0.5329826231810241
18	PhyloAE	0.1317975028984354	0.546032613362824
19	UMAP	0.0614257010414607	0.4274782289111211
19	PaCMAP	0.0503016721004503	0.3694884963556792
19	t-SNE	0.1374582594530099	0.568648966946805
19	TriMAP	0.1046233866123941	0.465054548659335
19	PHATE	0.1364079537763919	0.5464082743232869
19	PhyloAE	0.1434615255771335	0.5534710796708702
20	UMAP	0.0918192822935133	0.4699726650281302
20	PaCMAP	0.0681359478400405	0.4139211366043707
20	t-SNE	0.1415591187714129	0.5931744125796596
20	TriMAP	0.1225010796385126	0.4952814850996744
20	PHATE	0.1340801433787561	0.5553451154944482
20	PhyloAE	0.1532431940137665	0.5703802776575576
21	UMAP	0.1405972742313622	0.5039111568527606
21	PaCMAP	0.0912527499950842	0.4232720940221185
21	t-SNE	0.1798712868999052	0.5753470654682196
21	TriMAP	0.1323242322015439	0.4737651129283443
21	PHATE	0.2131475876667029	0.5791097162210718
21	PhyloAE	0.2275932743922762	0.60316949898041
22	UMAP	0.1406270568198232	0.5070066085211438
22	PaCMAP	0.0837920831075714	0.4032960911142693
22	t-SNE	0.194588688803684	0.6000824525157451
22	TriMAP	0.1536360151025587	0.4914966591809875
22	PHATE	0.2415861666988978	0.6109662348515458
22	PhyloAE	0.2350733683260995	0.6193057282008916
23	UMAP	0.0480127968003331	0.4567665160857297
23	PaCMAP	0.0402602550242045	0.4052218127880553
23	t-SNE	0.1162244620159209	0.5803797722953693
23	TriMAP	0.0749622555791649	0.4636346365482243
23	PHATE	0.114894304308459	0.5753403164698488
23	PhyloAE	0.1008063525167859	0.524959155936903
24	UMAP	0.1118371498108084	0.5271918496856026
24	PaCMAP	0.0988323331880773	0.4770056718783482
24	t-SNE	0.2168705404030025	0.6624818979424731
24	TriMAP	0.1180464634841704	0.5075695180615277
24	PHATE	0.1909258092168181	0.6168797994566384
24	PhyloAE	0.2302586703608536	0.632794520815
25	UMAP	0.0747771104253029	0.4930572669109727
25	PaCMAP	0.0758235440004474	0.4537367380559857
25	t-SNE	0.1512091249168975	0.632923155998213
25	TriMAP	0.1125012565450851	0.5039546296472973
25	PHATE	0.1448513709277738	0.6098986742084603
25	PhyloAE	0.1674294325368672	0.6068441623675696
26	UMAP	0.0756925496969108	0.5121950582121432
26	PaCMAP	0.0599396069388846	0.4658918161304077
26	t-SNE	0.1554574557137085	0.6697505412064495
26	TriMAP	0.102553499254351	0.5117077476740904
26	PHATE	0.1334879259534173	0.6177497128052116
26	PhyloAE	0.1613766711750025	0.6153354999574911
27	UMAP	0.1261964301581412	0.5343594749407801
27	PaCMAP	0.1133708758433278	0.5042649726789604
27	t-SNE	0.2155651970419187	0.6654814081116297
27	TriMAP	0.1345148425563652	0.5279867637140757
27	PHATE	0.1878939047914883	0.6093598264876399
27	PhyloAE	0.2160277548212546	0.6268311976381735
28	UMAP	0.0889074547086422	0.5478416512677444
28	PaCMAP	0.0867881099274302	0.5191109891374321
28	t-SNE	0.1581210504830656	0.6596592381137757
28	TriMAP	0.1110677219634996	0.5333655393039723
28	PHATE	0.1687113057934245	0.64319604849825
28	PhyloAE	0.1932025577218443	0.6589127296774538
29	UMAP	0.0939125546426475	0.5515098119678999
29	PaCMAP	0.0792249304266604	0.4965085996482514
29	t-SNE	0.1878301383454489	0.6891217944325745
29	TriMAP	0.1291278347431493	0.5367578123501724
29	PHATE	0.1771593325557419	0.6577469635365232
29	PhyloAE	0.1840507933558924	0.6424629030609563
30	UMAP	0.0654891146035689	0.5252007174421706
30	PaCMAP	0.0615759467465568	0.4861128292221574
30	t-SNE	0.1311376566186555	0.6584560296441432
30	TriMAP	0.0899383560169609	0.5250611041671234
30	PHATE	0.1049063977821798	0.6037663600165232
30	PhyloAE	0.1475817380658764	0.6329750142105217
