K	method	ari	nmi
2	UMAP	0.03060574021156753	0.09245169298052386
2	PaCMAP	0.00020135407048809507	0.00017118519238501877
2	t-SNE	0.012378370056872107	0.1315406494198385
2	TriMAP	-0.0013235602306737376	0.0004750591092958332
2	PHATE	0.3690698705271678	0.2433544407538744
2	PhyloAE	0.3126226949305953	0.3020438735482195
3	UMAP	0.057109603131342855	0.16501885426413124
3	PaCMAP	0.0031864863566820156	0.028799177169939242
3	t-SNE	0.029806166871971355	0.14600541662440247
3	TriMAP	0.020397382291432987	0.1329052095556123
3	PHATE	0.1521450588720788	0.19489001772362813
3	PhyloAE	0.16574224209097024	0.264773070496144
4	UMAP	0.0838180341642768	0.2521462404790754
4	PaCMAP	-0.0013725769418285725	0.06893143503774103
4	t-SNE	0.02811023697187789	0.22482992545171304
4	TriMAP	0.27602720188878166	0.32309327548345185
4	PHATE	0.22578435505691472	0.329033475421725
4	PhyloAE	0.16606951081888408	0.2807264488648653
5	UMAP	0.069661611183753	0.26053996066042545
5	PaCMAP	0.010276134968929743	0.09760485062462605
5	t-SNE	0.0439411823697884	0.24759673357863834
5	TriMAP	0.13384336616778952	0.27210302206673637
5	PHATE	0.10455671551214085	0.30311708391101444
5	PhyloAE	0.12157638884580713	0.2597280431325389
6	UMAP	0.030200929036549355	0.24725121732189892
6	PaCMAP	0.009461261040850788	0.13087235041073284
6	t-SNE	0.04091840893520561	0.20732612268363765
6	TriMAP	0.07785900226814309	0.2758024734897431
6	PHATE	0.115563170551958	0.33175405769359
6	PhyloAE	0.15998045870392016	0.348665698582652
7	UMAP	0.036024187284739446	0.2674626175199247
7	PaCMAP	0.03493091117401596	0.18781471567880645
7	t-SNE	0.09528323591993157	0.3733844361393269
7	TriMAP	0.10275296357278785	0.35041019346587354
7	PHATE	0.12107808588361506	0.3692381422638618
7	PhyloAE	0.15743349924189515	0.3442664751675872
8	UMAP	0.030924979782549725	0.2602866706520553
8	PaCMAP	0.021273118374436517	0.1735388360481615
8	t-SNE	0.08616944047620305	0.36672016779062794
8	TriMAP	0.07343618435432703	0.28052507992369763
8	PHATE	0.09519556354721619	0.37167246078733296
8	PhyloAE	0.1335936035589292	0.3409881392163864
9	UMAP	0.06776695399141495	0.31456852193008483
9	PaCMAP	0.053377350882351245	0.24053353434893524
9	t-SNE	0.0762090995934436	0.36665059470490247
9	TriMAP	0.13099260576550387	0.39853139175300495
9	PHATE	0.11949103240938252	0.40247312137596425
9	PhyloAE	0.15698813256731628	0.4120025565876262
10	UMAP	0.07439866092809332	0.3637599411684212
10	PaCMAP	0.03872440854294848	0.2528679969135455
10	t-SNE	0.0966609521827879	0.4225233008165916
10	TriMAP	0.13164527711863672	0.3911268096632236
10	PHATE	0.12386664947880376	0.43898204657702844
10	PhyloAE	0.20818021166990106	0.48585376828642435
11	UMAP	0.053139636480104925	0.32946869631251935
11	PaCMAP	0.03472773719430134	0.263224258960704
11	t-SNE	0.09611345327279988	0.43877247788117535
11	TriMAP	0.07815589302299074	0.3729112215199823
11	PHATE	0.10716650299364057	0.46152981736603543
11	PhyloAE	0.16338485372701564	0.47014609767575044
12	UMAP	0.03522434001826815	0.3263835541764007
12	PaCMAP	0.03913994550452965	0.2783990307767821
12	t-SNE	0.08725078518162818	0.44111702949455633
12	TriMAP	0.10469937004097493	0.44602427480451645
12	PHATE	0.09537767725240846	0.45098669581457335
12	PhyloAE	0.16195396823899103	0.5040071345012282
13	UMAP	0.06384148123908454	0.37167863235519866
13	PaCMAP	0.042756845963730306	0.29932798802514915
13	t-SNE	0.14247171002898462	0.5149996069934918
13	TriMAP	0.11766425096474034	0.4200172945001614
13	PHATE	0.10744557476133343	0.4772127105670562
13	PhyloAE	0.25251529258108835	0.5278139745287197
14	UMAP	0.06577619304436416	0.3753062718579402
14	PaCMAP	0.041741829422302874	0.3186529505568675
14	t-SNE	0.11280492590067537	0.5181756235843493
14	TriMAP	0.09595083695107505	0.4262349577825093
14	PHATE	0.13458667879992683	0.507884674137115
14	PhyloAE	0.2087819816097866	0.5389968015239437
15	UMAP	0.04683707665736893	0.36298917654729085
15	PaCMAP	0.0378719770278492	0.3221328869167342
15	t-SNE	0.09314610536230533	0.483050466230748
15	TriMAP	0.0824348457374738	0.41169049132503
15	PHATE	0.09482887440837748	0.4903118173804936
15	PhyloAE	0.16006311015343516	0.544224972728567
16	UMAP	0.05574477251424583	0.39611565309425023
16	PaCMAP	0.04019693681731168	0.3299456487791796
16	t-SNE	0.10720339256466173	0.5186670348543979
16	TriMAP	0.09183056366756258	0.4238679630671573
16	PHATE	0.10334813096466837	0.49813500716819575
16	PhyloAE	0.1729328316594828	0.5396996871389631
17	UMAP	0.056317494431817314	0.41101226850799294
17	PaCMAP	0.03427966578077239	0.3304238951255646
17	t-SNE	0.08480658607659164	0.4813335569477382
