K	method	ari	nmi
2	UMAP	0.011861569677597944	0.13125254706569978
2	PaCMAP	0.0036219733745104883	0.00047060004705167365
2	t-SNE	0.12789660830389826	0.1948492179538549
2	TriMAP	-0.0013235602306737376	0.0004750591092958332
2	PHATE	-0.09104770448474121	0.058049531008868366
2	PhyloAE	-0.030954966009174672	0.02303513158789697
3	UMAP	0.10707126309514067	0.2005941485811846
3	PaCMAP	1.4753667172265733e-05	0.058254902705076474
3	t-SNE	0.041982230216752306	0.17986721227977678
3	TriMAP	0.05652493830957747	0.03142535364489694
3	PHATE	-0.022832224936350655	0.09015093124246301
3	PhyloAE	0.11921692977509522	0.23650030375311695
4	UMAP	0.01979346964289708	0.19582406122617133
4	PaCMAP	0.04379383483614972	0.16583229602761532
4	t-SNE	0.06754342001109873	0.25179733421804557
4	TriMAP	0.30619696946763025	0.312888537722342
4	PHATE	0.08135492063623356	0.22067946201526753
4	PhyloAE	0.16588924699863708	0.32242476292864564
5	UMAP	0.06648352809028787	0.25913700543626644
5	PaCMAP	0.020465142903834308	0.17079038462917515
5	t-SNE	0.030426042651780755	0.23564944858689288
5	TriMAP	0.12876664814996827	0.2988021904052098
5	PHATE	0.07421103905115507	0.2509773952638904
5	PhyloAE	0.16746966716365982	0.36945506333034184
6	UMAP	0.038532898335085906	0.259500524091154
6	PaCMAP	0.014105107003010226	0.18856745875495534
6	t-SNE	0.06258856468474666	0.2857472761917918
6	TriMAP	0.14930081218194746	0.3180317434430304
6	PHATE	0.05983506103990356	0.25434656499823205
6	PhyloAE	0.15907957319054453	0.3403954891526508
7	UMAP	0.13997671727023187	0.37724601474954217
7	PaCMAP	0.03244417702610155	0.22625547934064458
7	t-SNE	0.12018020441336062	0.4002406007655595
7	TriMAP	0.13098821672212063	0.35391537299958153
7	PHATE	0.1420036322497278	0.36989974999681186
7	PhyloAE	0.20931200073438547	0.3904933364981752
8	UMAP	0.0746922498112013	0.3379083765269
8	PaCMAP	0.034756707653608804	0.24764623206990524
8	t-SNE	0.07381903733534372	0.33010461607866226
8	TriMAP	0.07995536935383189	0.317327987089845
8	PHATE	0.07107822377550607	0.3375087875687242
8	PhyloAE	0.19878711542300706	0.4086835682287609
9	UMAP	0.12719004351240357	0.44513925899906087
9	PaCMAP	0.042986075466693634	0.2766015390723253
9	t-SNE	0.1128912385392357	0.44502135099276924
9	TriMAP	0.09220706884132546	0.35406626299118477
9	PHATE	0.08764185950658422	0.3824003635567741
9	PhyloAE	0.23712867249079222	0.4332889987446191
10	UMAP	0.1267716367710525	0.48589658439832273
10	PaCMAP	0.0586931128461184	0.33146953299700355
10	t-SNE	0.15422794568579257	0.4986201563427761
10	TriMAP	0.14943685542138088	0.4081048515542647
10	PHATE	0.15140725118770515	0.48346752403320986
10	PhyloAE	0.3015845642841633	0.502587229169771
11	UMAP	0.1005189816666321	0.4610778143001805
11	PaCMAP	0.04023076224903587	0.3261547167518912
11	t-SNE	0.08248723453418476	0.4388901226173909
11	TriMAP	0.0958443782138584	0.4104528855918134
11	PHATE	0.1115376070415254	0.46326480649554086
11	PhyloAE	0.13665301577924263	0.4462058826194276
12	UMAP	0.09127551096148852	0.45914662618860275
12	PaCMAP	0.050405495339885795	0.3640345180534531
12	t-SNE	0.08431260675230476	0.451450446974325
12	TriMAP	0.10621137789963361	0.4372851492982832
12	PHATE	0.11198385972016595	0.46904358280006314
12	PhyloAE	0.15048701357772765	0.46904085583748045
13	UMAP	0.11812254783203384	0.5251103953320527
13	PaCMAP	0.08629388653719343	0.4165550303059882
13	t-SNE	0.15664934595656477	0.5494454271685683
13	TriMAP	0.1250158204977485	0.44020224231040334
13	PHATE	0.12086339046056259	0.4832554939443332
13	PhyloAE	0.21449763034331149	0.5513393115764702
14	UMAP	0.09951879725063809	0.5142172435549943
14	PaCMAP	0.08089138908285316	0.4407461602295574
14	t-SNE	0.13289631583988804	0.5537658547758125
14	TriMAP	0.08907123110415843	0.41865172743632845
14	PHATE	0.11455641161246356	0.4955199267416579
14	PhyloAE	0.15431678091697512	0.510816387548467
15	UMAP	0.0866656738021539	0.48393556698929924
15	PaCMAP	0.08121168775622299	0.4515423495870547
15	t-SNE	0.10256938039232513	0.4976186874539222
15	TriMAP	0.08976439159467621	0.4446086780170372
15	PHATE	0.10775433058611356	0.5024591436658207
15	PhyloAE	0.13936974397860985	0.5237127780598996
16	UMAP	0.0892548641334931	0.5115481799359869
16	PaCMAP	0.09403001647768128	0.47271393088892005
16	t-SNE	0.11559738778139084	0.5411696843589933
16	TriMAP	0.08539939549279238	0.4289045526167815
16	PHATE	0.1285439029366386	0.5245131503397938
16	PhyloAE	0.15664356025535653	0.5314306842722857
17	UMAP	0.08938981877213005	0.5015922929714353
17	PaCMAP	0.08555364556955003	0.4656278882937503
17	t-SNE	0.10345943102819743	0.5335297490042477
17	TriMAP	0.07039618820679913	0.4312416883662424
17	PHATE	0.1030975100482444	0.5263537885430755
17	PhyloAE	0.13959549137526053	0.5277894384536906
18	UMAP	0.08189264260874025	0.5133009417489923
18	PaCMAP	0.10022218571005723	0.4954003692352876
18	t-SNE	0.11752740386240852	0.5603934000072001
18	TriMAP	0.07888636999665606	0.4575607337334035
18	PHATE	0.12123863481540438	0.5512148900248885
18	PhyloAE	0.1464732325003381	0.5490874052734176
19	UMAP	0.11713098762867218	0.5559405406985548
19	PaCMAP	0.12969886777344564	0.5159076238463963
19	t-SNE	0.13207619587926556	0.5789259082514464
19	TriMAP	0.08388473711497861	0.45787060900368887
19	PHATE	0.14966104279643128	0.5600544916395629
19	PhyloAE	0.19317056587819448	0.5821858416749751
20	UMAP	0.13299142798688068	0.5687331067964688
20	PaCMAP	0.16082462761318977	0.5545255005989626
20	t-SNE	0.14455498687205115	0.603627125017734
20	TriMAP	0.11527626046513281	0.49342046128429057
20	PHATE	0.14805054790390407	0.5659778144731575
20	PhyloAE	0.1862564224137813	0.5834333512838374
21	UMAP	0.21583906241680556	0.6087179179979694
21	PaCMAP	0.22460853386887134	0.5627025276472106
21	t-SNE	0.2182358872467532	0.6234972026368406
21	TriMAP	0.13349105413241874	0.47735942377906004
21	PHATE	0.22835769529302236	0.5875605873496926
21	PhyloAE	0.23796523508612855	0.5935231328070191
22	UMAP	0.21250293471959938	0.6079021967086129
22	PaCMAP	0.20290312483317502	0.5613924670006344
22	t-SNE	0.227323573825533	0.6341978068328389
22	TriMAP	0.13523054896730674	0.4812471689551821
22	PHATE	0.2272991379972882	0.5937506511537506
22	PhyloAE	0.22565000546997954	0.5994674027429908
23	UMAP	0.10091336246537433	0.5661855619385913
23	PaCMAP	0.10902774967174465	0.5353677240085302
23	t-SNE	0.11608171954720234	0.6078784341367007
23	TriMAP	0.06423791707389213	0.4452671376734494
23	PHATE	0.12101750357462283	0.5663729075294626
23	PhyloAE	0.17592753210844703	0.5850979180192061
24	UMAP	0.20568592858159027	0.6592789788914696
24	PaCMAP	0.21524709554519117	0.6329236751888456
24	t-SNE	0.20530509611601538	0.6605677897066443
24	TriMAP	0.10413208828453363	0.49061817082910864
24	PHATE	0.21745535075418565	0.6239239187330269
24	PhyloAE	0.24909419438548963	0.6542235694634936
25	UMAP	0.1429611455230627	0.6171192387628303
25	PaCMAP	0.13496463169499393	0.5628940210478175
25	t-SNE	0.14663438265134568	0.6378531128996926
25	TriMAP	0.09299099751227347	0.4910976964081652
25	PHATE	0.1370407907692626	0.5818297900833271
25	PhyloAE	0.2198010466787762	0.626134558474678
26	UMAP	0.151353376227464	0.6440002967140781
26	PaCMAP	0.11734339739320696	0.588718437507828
26	t-SNE	0.15544108160889572	0.6557816582450863
26	TriMAP	0.08724307210199986	0.5053942253327727
26	PHATE	0.13944491636868137	0.6027309262031448
26	PhyloAE	0.2450976745235249	0.6700447461178062
27	UMAP	0.24469371230081244	0.6691636814135311
27	PaCMAP	0.22668986191336796	0.6355351449950302
27	t-SNE	0.23253512864353715	0.6894065874879216
27	TriMAP	0.1424715063626708	0.5251601362023827
27	PHATE	0.23372904825012084	0.6217561145466031
27	PhyloAE	0.22889873291237914	0.6412574103386434
28	UMAP	0.15689044178448244	0.6502673013866205
28	PaCMAP	0.15074903602867792	0.6144618018477602
28	t-SNE	0.17564859777412975	0.6886126817703274
28	TriMAP	0.09224974429507408	0.5027930956469926
28	PHATE	0.1724432410060209	0.6323864765581169
28	PhyloAE	0.2181616808786452	0.6738037355479236
29	UMAP	0.18264048877792738	0.6740996938098347
29	PaCMAP	0.16589223258583463	0.6322290032600474
29	t-SNE	0.2023233034972086	0.7078685814472632
29	TriMAP	0.08913774602727872	0.497575860349108
29	PHATE	0.18406055046788852	0.6522525177961441
29	PhyloAE	0.2521788149839503	0.6754052652506136
30	UMAP	0.10768850145268863	0.6183517906087245
30	PaCMAP	0.12040534320779735	0.6082875519931031
30	t-SNE	0.11934477554017847	0.6486865648840292
30	TriMAP	0.07346688465640346	0.4921314068305429
30	PHATE	0.11167579825756377	0.6000759925104067
30	PhyloAE	0.17872555362115272	0.6596036251217462
