method	method_slug	K	ari	nmi	local_purity_dominant	local_purity_metadata	logistic_separability	embedding_method_rank
UMAP	umap	8	0.030924979782549725	0.2602866706520553	0.9112939416604338	0.5115432560458738	0.9304319911574265	5
UMAP	umap	15	0.04683707665736893	0.36298917654729085	0.843829468960359	0.5115432560458738	0.8985602367495902	5
PaCMAP	pacmap	8	0.021273118374436517	0.1735388360481615	0.8647220144602343	0.5199700822737472	0.8872720498381647	6
PaCMAP	pacmap	15	0.0378719770278492	0.3221328869167342	0.8012964348042882	0.5199700822737472	0.8452789209170471	6
t-SNE	tsne	8	0.08616944047620305	0.36672016779062794	0.9741710296684118	0.5255547245076041	0.9469405960582639	2
t-SNE	tsne	15	0.09314610536230533	0.483050466230748	0.9454001495886313	0.5255547245076041	0.9289621076381075	2
TriMAP	trimap	8	0.07343618435432703	0.28052507992369763	0.9077536773871853	0.3101470954874096	0.8033613457858807	4
TriMAP	trimap	15	0.0824348457374738	0.41169049132503	0.8039391672899526	0.3101470954874096	0.771476781821051	4
PHATE	phate	8	0.09519556354721619	0.37167246078733296	0.949987534280728	0.5014709548740962	0.8881658329535899	1
PHATE	phate	15	0.09482887440837748	0.4903118173804936	0.906357516828721	0.5014709548740962	0.8580510573009602	1
PhyloAE	phyloae	8	0.0999531522363164	0.35732815408882573	0.9565694340563451	0.5208177511842433	0.9639729540851679	3
PhyloAE	phyloae	15	0.11985705827388107	0.496674438083851	0.9230615806532037	0.5208177511842433	0.957107870425624	3
