run_id,n_neighbors,MN_ratio,FP_ratio,distance,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed7_2d,5,0.5,1.0,euclidean,2,7,0.8087090410048167,0.7979034177669425,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed7_2d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed42_2d,5,0.5,1.0,euclidean,2,42,0.8279861658976627,0.7811034201560851,0.49982547993019194,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed42_2d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed99_2d,5,0.5,1.0,euclidean,2,99,0.8162952565376721,0.8164495652563244,0.5035153328347046,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed99_2d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed123_2d,5,0.5,1.0,euclidean,2,123,0.8149433805892243,0.7769438936899351,0.4921465968586388,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed123_2d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed256_2d,5,0.5,1.0,euclidean,2,256,0.81441101658415,0.7880845831590072,0.4969832959361755,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed256_2d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed7_3d,5,0.5,1.0,euclidean,3,7,0.8074360956380608,0.8085994274532652,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed7_3d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed42_3d,5,0.5,1.0,euclidean,3,42,0.8289841444399287,0.8091752929916811,0.5065569683370731,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed42_3d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed99_3d,5,0.5,1.0,euclidean,3,99,0.8178073843353912,0.8253938693646494,0.5026178010471204,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed99_3d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed123_3d,5,0.5,1.0,euclidean,3,123,0.8258753799957271,0.7947031899209455,0.5013213662428323,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed123_3d.csv
pacmap_euclidean_nn5_mn0p5_fp1p0_seed256_3d,5,0.5,1.0,euclidean,3,256,0.8145621990060059,0.8013280764346271,0.4971328845674396,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_euclidean_nn5_mn0p5_fp1p0_seed256_3d.csv
