run_id,knn,decay,knn_dist,t,gamma,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phate_euclidean_knn5_decay1_seed7_2d_g0,5,1,euclidean,auto,0,2,7,0.5736903120679926,-0.33991171580933177,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_2d_g0.csv
phate_euclidean_knn5_decay1_seed42_2d_g0,5,1,euclidean,auto,0,2,42,0.5699891128923619,-0.34897077043193925,0.168835701819995,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_2d_g0.csv
phate_euclidean_knn5_decay1_seed99_2d_g0,5,1,euclidean,auto,0,2,99,0.5754996438636976,-0.35601673224264335,0.17352281226626776,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_2d_g0.csv
phate_euclidean_knn5_decay1_seed123_2d_g0,5,1,euclidean,auto,0,2,123,0.5743093479233479,-0.3411505633851487,0.16604338070306657,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_2d_g0.csv
phate_euclidean_knn5_decay1_seed256_2d_g0,5,1,euclidean,auto,0,2,256,0.5737915936653655,-0.34504127358388803,0.1680877586636749,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_2d_g0.csv
phate_euclidean_knn5_decay1_seed7_3d_g0,5,1,euclidean,auto,0,3,7,0.5915995851590774,-0.2797315436091376,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_3d_g0.csv
phate_euclidean_knn5_decay1_seed42_3d_g0,5,1,euclidean,auto,0,3,42,0.5920838698146308,-0.27470836355662703,0.16983295936175516,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_3d_g0.csv
phate_euclidean_knn5_decay1_seed99_3d_g0,5,1,euclidean,auto,0,3,99,0.5861484418609858,-0.2828735606683821,0.1633009224632261,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_3d_g0.csv
phate_euclidean_knn5_decay1_seed123_3d_g0,5,1,euclidean,auto,0,3,123,0.5896588794817297,-0.2799942036006815,0.1682872101720269,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_3d_g0.csv
phate_euclidean_knn5_decay1_seed256_3d_g0,5,1,euclidean,auto,0,3,256,0.5977118859210231,-0.2676379148932108,0.162503116429818,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_3d_g0.csv
phate_euclidean_knn5_decay1_seed7_2d,5,1,euclidean,auto,1,2,7,0.5960067576721095,-0.3598337193371889,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_2d.csv
phate_euclidean_knn5_decay1_seed42_2d,5,1,euclidean,auto,1,2,42,0.5921147969415919,-0.3466538844125263,0.19187235103465472,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_2d.csv
