run_id,hidden_dims,lr,lambda_breed,lambda_clade,n_components,seed,target_metric,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed42_2d,"(512, 64)",0.001,0.1,0.1,2,42,euclidean,0.8832162845933197,0.7333754649481661,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed42_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed123_2d,"(512, 64)",0.001,0.1,0.1,2,123,euclidean,0.8928704434191058,0.7616427965922148,0.5350785340314137,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed123_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed256_2d,"(512, 64)",0.001,0.1,0.1,2,256,euclidean,0.8883707551569562,0.7545848914405905,0.5332336075791574,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed256_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed789_2d,"(512, 64)",0.001,0.1,0.1,2,789,euclidean,0.8704464169500389,0.7549429751367931,0.5350785340314137,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed789_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed1337_2d,"(512, 64)",0.001,0.1,0.1,2,1337,euclidean,0.8850889126439582,0.7295649707385211,0.5409124906507106,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed1337_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed42_3d,"(512, 64)",0.001,0.1,0.1,3,42,euclidean,0.9153182629048655,0.7901307746597915,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed42_3d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed123_3d,"(512, 64)",0.001,0.1,0.1,3,123,euclidean,0.9084723631019264,0.7867572839760302,0.5745699326851159,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed123_3d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed256_3d,"(512, 64)",0.001,0.1,0.1,3,256,euclidean,0.9160030615958321,0.771217992450623,0.6038394415357766,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed256_3d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed789_3d,"(512, 64)",0.001,0.1,0.1,3,789,euclidean,0.8951271370549861,0.7888890390315949,0.5601595612066816,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed789_3d.csv
phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed1337_3d,"(512, 64)",0.001,0.1,0.1,3,1337,euclidean,0.9092574947053897,0.7836909401630114,0.5868362004487658,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc0p1_seed1337_3d.csv
phyloae_h512x64_lr0p001_lb0p1_lc1p0_seed42_2d,"(512, 64)",0.001,0.1,1.0,2,42,euclidean,0.8924892618358874,0.7509385861277277,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc1p0_seed42_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc1p0_seed123_2d,"(512, 64)",0.001,0.1,1.0,2,123,euclidean,0.8964985938592767,0.7487112756822867,0.5671902268760908,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc1p0_seed123_2d.csv
phyloae_h512x64_lr0p001_lb0p1_lc1p0_seed256_2d,"(512, 64)",0.001,0.1,1.0,2,256,euclidean,0.8882638952925118,0.7377166220016678,0.5703315881326352,results/embeddings/phyloae_h512x64_lr0p001_lb0p1_lc1p0_seed256_2d.csv
