sample_idx	IID	FID	dominant_component_broad	q_max_broad	best_embedding_axis1	best_embedding_method	sample_order_rank
909	GSl_0GT230	GREE	0	0.99993	1.2580866	PhyloAE	1
913	GSl_0GT234	GREE	0	0.99993	1.2600855	PhyloAE	2
905	GSl_0GT226	GREE	0	0.99993	1.2674105	PhyloAE	3
910	GSl_0GT231	GREE	0	0.99993	1.2683672	PhyloAE	4
914	GSl_0GT235	GREE	0	0.99993	1.2700032	PhyloAE	5
906	GSl_0GT227	GREE	0	0.99993	1.2864867	PhyloAE	6
908	GSl_0GT229	GREE	0	0.99993	1.2885352	PhyloAE	7
907	GSl_0GT228	GREE	0	0.999925	1.312788	PhyloAE	8
911	GSl_0GT232	GREE	0	0.999924	1.2823824	PhyloAE	9
912	GSl_0GT233	GREE	0	0.999923	1.2801406	PhyloAE	10
554	AMAL_27127	AMAL	0	0.838054	0.75233597	PhyloAE	11
553	AMAL_14509	AMAL	0	0.831769	0.74667233	PhyloAE	12
557	AMAL_29542	AMAL	0	0.82202	0.74865407	PhyloAE	13
559	AMAL_29544	AMAL	0	0.814063	0.7455445	PhyloAE	14
562	AMAL_29547	AMAL	0	0.810873	0.7467097	PhyloAE	15
561	AMAL_29546	AMAL	0	0.805241	0.74271846	PhyloAE	16
556	AMAL_29541	AMAL	0	0.803242	0.7411659	PhyloAE	17
558	AMAL_29543	AMAL	0	0.800652	0.7522989	PhyloAE	18
555	AMAL_29540	AMAL	0	0.783322	0.7433556	PhyloAE	19
560	AMAL_29545	AMAL	0	0.77557	0.7413792	PhyloAE	20
634	HUSK_15873	HUSK	0	0.759063	0.5293779	PhyloAE	21
638	HUSK_29464	HUSK	0	0.75829	0.52896816	PhyloAE	22
631	HUSK_11490	HUSK	0	0.748678	0.5279439	PhyloAE	23
637	HUSK_28926	HUSK	0	0.745048	0.52268815	PhyloAE	24
630	HUSK_11487	HUSK	0	0.736688	0.5232538	PhyloAE	25
629	HUSK_11480	HUSK	0	0.719095	0.51430285	PhyloAE	26
633	HUSK_15872	HUSK	0	0.709271	0.5123357	PhyloAE	27
636	HUSK_28925	HUSK	0	0.67469	0.5044862	PhyloAE	28
632	HUSK_14529	HUSK	0	0.672278	0.49041826	PhyloAE	29
635	HUSK_28487	HUSK	0	0.66838	0.51075965	PhyloAE	30
448	CHOW_22802	CHOW	1	0.870315	-0.6754554	PhyloAE	31
140	CHOW_28874	CHOW	1	0.868688	-0.67335564	PhyloAE	32
118	CHOW_13802	CHOW	1	0.868205	-0.66873586	PhyloAE	33
156	CHOW_28872	CHOW	1	0.864462	-0.681215	PhyloAE	34
449	CHOW_23372	CHOW	1	0.862783	-0.6605593	PhyloAE	35
145	CHOW_28880	CHOW	1	0.858471	-0.67343485	PhyloAE	36
142	CHOW_28885	CHOW	1	0.858054	-0.6605033	PhyloAE	37
151	CHOW_28871	CHOW	1	0.853265	-0.6661033	PhyloAE	38
446	CHOW_15628	CHOW	1	0.846585	-0.67407805	PhyloAE	39
447	CHOW_15630	CHOW	1	0.843164	-0.6640875	PhyloAE	40
376	AKIT_01131	AKIT	1	0.776566	0.009456994	PhyloAE	41
